first_name,last_name,bio,learning_style_id,username
Sierra,Phillips,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",0,primis.in.faucibus@dolor.ca
Signe,Johnson,Lorem ipsum dolor,0,est.tempor.bibendum@a.co.uk
Nina,Porter,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam",3,Morbi.accumsan.laoreet@nisinibh.ca
Thor,Hayden,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus.",,accumsan.interdum.libero@egestasAliquamnec.co.uk
Fritz,Oconnor,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et",2,facilisis@nonquamPellentesque.co.uk
Cain,Cole,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing",2,arcu.vel.quam@ut.ca
Jemima,Roberson,Lorem ipsum dolor sit,0,Integer.id.magna@acmattissemper.com
Urielle,Fry,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut",1,magna.a.tortor@etlaciniavitae.net
Gareth,Russo,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec",,rutrum@egestas.edu
Brenden,Dillard,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam",3,vitae@In.net
Dean,Browning,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing",3,Morbi@variusultrices.co.uk
Rosalyn,Stewart,Lorem ipsum,0,Cras.lorem.lorem@egetmollis.ca
Cairo,Buckley,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",3,Phasellus@maurissapien.co.uk
Alea,Johns,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing",3,et.magna.Praesent@lacusvestibulumlorem.com
Wayne,Obrien,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",1,at.augue.id@liberolacusvarius.net
Rana,Delaney,Lorem ipsum dolor sit,0,Nam.tempor.diam@velarcu.co.uk
Claudia,Howe,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus.",0,erat@Nullam.co.uk
Arden,Wilson,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus.",1,amet.consectetuer.adipiscing@accumsan.net
Brett,Boone,Lorem,0,Vivamus.nibh@scelerisqueduiSuspendisse.edu
Ahmed,Navarro,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer",3,Duis.sit@amet.ca
Gwendolyn,Snow,"Lorem ipsum dolor sit amet, consectetuer adipiscing",2,velit.Sed@neque.edu
Xenos,Hays,Lorem ipsum dolor,3,in.magna@adipiscing.com
Zeus,Cook,Lorem ipsum,0,Suspendisse.sagittis.Nullam@dignissimMaecenasornare.co.uk
Genevieve,Wilkinson,"Lorem ipsum dolor sit amet, consectetuer",1,vitae.mauris@temporbibendum.edu
Brett,Kirkland,"Lorem ipsum dolor sit amet,",,gravida.Aliquam.tincidunt@ullamcorpervelitin.org
Selma,Watson,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec",,Donec.porttitor.tellus@neque.org
Harrison,Strickland,Lorem,1,euismod.ac@facilisisloremtristique.co.uk
Delilah,Dejesus,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna",2,est.tempor.bibendum@aliquamadipiscing.org
Cody,Serrano,Lorem ipsum dolor sit,0,per.conubia@ultricesposuerecubilia.co.uk
Nolan,Mckay,Lorem ipsum dolor sit,0,Duis@facilisis.edu
Ethan,Foreman,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer",1,Quisque@nuncestmollis.ca
Aspen,Maxwell,Lorem ipsum dolor sit,3,Donec.tempus@amet.edu
Elizabeth,Bradley,"Lorem ipsum dolor sit amet, consectetuer",,Suspendisse@duiCum.org
Diana,Gill,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu",3,quis@sit.org
Garrett,Levine,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec",3,libero.Morbi@eu.edu
Lila,Benjamin,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et",,dolor.Fusce.feugiat@commodotinciduntnibh.com
Lacey,Sanders,Lorem ipsum,2,placerat.orci.lacus@Proinsedturpis.com
Steven,Noel,Lorem ipsum,1,pellentesque.a@magnisdisparturient.net
Bruno,Decker,"Lorem ipsum dolor sit amet, consectetuer",3,malesuada.ut.sem@velitAliquam.edu
Victor,Craig,Lorem ipsum,2,parturient.montes.nascetur@infaucibus.ca
Emmanuel,Trujillo,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer",,sed.est@pretiumneque.ca
Trevor,Berger,Lorem ipsum dolor,1,mi.enim.condimentum@infelisNulla.org
Blaine,Farley,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et",,Nam.porttitor@sapienCrasdolor.org
Walter,Spears,"Lorem ipsum dolor sit amet, consectetuer",,Sed.eget.lacus@malesuadavelconvallis.edu
Nayda,Cantu,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus.",,elit@loremvehiculaet.co.uk
Kylynn,Oconnor,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor.",2,auctor.Mauris@perconubia.ca
Timon,Hurst,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing",3,ullamcorper.viverra@anteblanditviverra.com
Thomas,Foster,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",2,et.euismod@tristiquepharetra.org
Plato,Drake,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu",1,ligula.Nullam@temporarcu.edu
Libby,Mueller,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus.",0,suscipit.nonummy.Fusce@taciti.co.uk
Forrest,West,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut",2,velit@et.net
Naomi,Adkins,"Lorem ipsum dolor sit amet,",,In@enim.com
Keith,Whitehead,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus.",1,nibh.Phasellus.nulla@duisemper.net
Wilma,Gamble,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer",,Cum@felisullamcorper.com
Tucker,Harrison,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",0,Duis.gravida.Praesent@metussit.net
Nola,Waters,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu",3,lorem@molestie.org
Karly,Roach,"Lorem ipsum dolor sit amet,",1,non@massaVestibulumaccumsan.com
Stacey,Winters,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec",2,nulla.Integer@lacusAliquamrutrum.co.uk
Ferris,Baker,Lorem ipsum dolor sit,,dui@quamvelsapien.net
Mariam,Bernard,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et",,tempor.augue.ac@metusInnec.org
Melinda,Kinney,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",1,imperdiet.dictum.magna@ut.ca
Quail,Petty,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",1,sollicitudin.adipiscing@molestie.org
Jesse,Aguilar,Lorem,,Lorem.ipsum@sollicitudinadipiscingligula.co.uk
Patricia,Stein,Lorem,1,rutrum.urna.nec@velitCraslorem.com
Eagan,Perez,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam",2,sociosqu.ad.litora@sapiengravida.ca
Amity,Cleveland,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",0,fringilla.cursus.purus@mauris.co.uk
Berk,Hamilton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",3,tincidunt.nibh@sedhendrerita.edu
Coby,Stanton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam",,eros.Nam@ornarelectus.edu
Noel,Hayden,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",,cursus.a@Proinvelarcu.net
Maxine,Andrews,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu",2,Proin.dolor.Nulla@velarcu.ca
Gray,Blackburn,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor.",,orci.tincidunt@nunc.com
Clayton,Schwartz,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus.",3,eleifend.nec@senectuset.co.uk
Berk,Michael,Lorem ipsum,,dui.Cum@enim.co.uk
Gil,Love,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam",,tellus.imperdiet@estNunclaoreet.ca
Chester,Walls,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",0,Fusce.mollis@mattisornare.com
Yen,Davidson,"Lorem ipsum dolor sit amet, consectetuer",3,libero.nec@placeratvelitQuisque.net
Angela,Holloway,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam",2,parturient.montes@Vivamusnisi.ca
Ali,Cervantes,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu",3,nisi.Mauris.nulla@rutrumlorem.edu
Michelle,Acevedo,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",0,dolor.sit.amet@cursuseteros.com
Jenna,Cohen,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna",,egestas.urna.justo@Donecporttitor.edu
Tashya,Mullen,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut",0,eu@nuncQuisque.ca
Lucy,Lara,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam",2,penatibus.et@nonenim.ca
Blaine,Kim,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec",2,amet.nulla.Donec@anteblanditviverra.edu
Bell,Walter,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et",1,vehicula@fringillaest.com
Wade,Conley,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut",0,mattis@sitametmetus.co.uk
Reese,Norton,"Lorem ipsum dolor sit amet, consectetuer adipiscing",2,sit.amet@Nullamvelitdui.co.uk
Luke,Oconnor,Lorem,0,tincidunt.nibh.Phasellus@sapien.edu
Chester,Glass,"Lorem ipsum dolor sit amet, consectetuer",3,tempor.arcu@ridiculusmus.edu
Eric,Cox,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec",,fringilla@volutpatNulladignissim.co.uk
Brenden,Hancock,Lorem ipsum dolor sit,2,Cum.sociis.natoque@id.ca
Janna,Kent,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et",2,augue.porttitor@vitaealiquam.ca
Andrew,Herman,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus.",0,erat@euismodenimEtiam.com
Galena,Wall,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et",3,pede@dictumeleifendnunc.edu
Jenna,Lang,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et",1,semper@sodalesat.com
Zephania,Weaver,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing",1,vel@temporarcu.edu
Elton,Campbell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor.",3,Duis@elementumpurus.net
Katelyn,Rocha,Lorem ipsum,,eu.eleifend.nec@nascetur.co.uk
Simon,Robinson,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna",0,bibendum.sed.est@ornare.net
Declan,Simmons,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut",1,at.pretium@Quisque.ca
Ima,Serrano,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna",1,malesuada.Integer.id@vitaeerat.com
